"","init","adapt","K","gamma","weight","target_accrate","job.id","msjd","accrate","prop1","N","eta_m","eta_mse","eta_sd","eta_qL","eta_qU","eta_m1","eta_m1se","eta_sd1","eta_q1L","eta_q1U","eta_m2","eta_m2se","eta_sd2","eta_q2L","eta_q2U","eta_acf","pi1_m","pi1_mse","pi1_sd","pi1_qL","pi1_qU","pi1_m1","pi1_m1se","pi1_sd1","pi1_q1L","pi1_q1U","pi1_m2","pi1_m2se","pi1_sd2","pi1_q2L","pi1_q2U","pi1_acf","pi2_m","pi2_mse","pi2_sd","pi2_qL","pi2_qU","pi2_m1","pi2_m1se","pi2_sd1","pi2_q1L","pi2_q1U","pi2_m2","pi2_m2se","pi2_sd2","pi2_q2L","pi2_q2U","pi2_acf","gamma_m","gamma_mse","gamma_sd","gamma_qL","gamma_qU","gamma_m1","gamma_m1se","gamma_sd1","gamma_q1L","gamma_q1U","gamma_m2","gamma_m2se","gamma_sd2","gamma_q2L","gamma_q2U","gamma_acf"
"1","constant",0,1,0.5,-1,0.2,50.0505050505051,0.104736052336898,0.0109041207151018,0.0530656565656566,10000,0.810442403425989,0.000441663179923435,0.135002319554928,0.49142472333291,0.960392659413302,0.0948674543471507,0.000118345496618445,0.024909370143389,0.0611170881551308,0.146807644109853,0.851016803344723,0.000113595796174342,0.0791442620690105,0.657080356685634,0.961093809131562,0.189461965211241,0.261335233743591,0.000303739676902448,0.0740570093103479,0.193701352049768,0.431975219606203,0.818167420182263,0.000219661994947821,0.0382071375166715,0.750606971081003,0.86852649988116,0.228827482649847,2.35840684409273e-05,0.018505501031097,0.193301266241535,0.266050998070833,0.177985725316693,0.605790469556534,0.000345671422628149,0.169857078570461,0.293719360020001,0.896389610002466,0.233950271430076,6.09156125374236e-05,0.0124776948885012,0.213135817170501,0.252577048140095,0.626366752826691,0.00027407092582399,0.158017005190232,0.325970550305897,0.899809408988117,0.18242366807779,12.1240041574743,0.0267738983322139,11.5211728391863,-13.4977881333949,28.7366329650531,-14.4577569618685,Inf,4.34798515733545,-20.8789064021968,-7.77263082433346,13.7458995490074,0.0191892161813625,10.3038661133021,-9.66944194789165,28.7862850594504,0.196474034196354
"2","constant",0,1,0.5,0,0.2,150.5,0.108243477800418,0.0113871387138714,0.03287,10000,0.825970322735392,0.000327063142959125,0.124009661748955,0.500238355956496,0.962365212189522,0.105908656825879,0.000109058915254465,0.0204653968904634,0.0772917980916037,0.143028621981182,0.850792506714109,0.000119007695995569,0.0820056247436692,0.647277264666919,0.963306151544607,0.157319680359353,0.24868815545803,0.000186475311440059,0.0637221158336466,0.194113699077833,0.418052359809203,0.816096082731436,Inf,0.033911813547641,0.764270875143157,0.856493108893746,0.229102786025247,2.3318512771964e-05,0.0188473880171582,0.193763145403375,0.266955223191593,0.140202774237638,0.609801904145025,0.000324322524166458,0.169214800983718,0.295437303602233,0.89821205555152,0.232441050504281,4.80717138554463e-05,0.00934212334307323,0.218451526879286,0.245426095019431,0.622509022110964,0.000283682105511876,0.161087934340871,0.319373244157907,0.899985241300415,0.165597719603248,12.8014752950245,0.0216711746422721,10.9683217572492,-11.0468405677273,28.8362830648833,-14.6695604363746,Inf,3.30064279714306,-18.8271420924357,-9.49038837433364,13.7519154472253,0.0179016855792889,10.1234559910041,-7.74470719769797,28.8602333875103,0.168024650330224
"3","constant",0,1,0.5,-1,0.3,250.444444444444,0.107212579233409,0.0112728444561628,0.0361141414141414,10000,0.822899701874461,0.000329356366008285,0.12167352378528,0.510675867923488,0.958566549540357,0.0894113781971536,0.000128955604243696,0.0247029293894003,0.0595466765798369,0.135216358467347,0.850174293839985,0.000115808362480483,0.080272423191386,0.654019886438491,0.959037994150304,0.161707537730466,0.251137104865978,0.00021598736285279,0.0624324541399621,0.193491686519108,0.409514836185939,0.815303093611918,0.000144448745468668,0.0330273312765649,0.748475646955825,0.855564908816718,0.228851772815502,2.27147149513776e-05,0.0187803302349931,0.193147844579266,0.267076970467047,0.148927241264911,0.615000575590741,0.000323673036090869,0.167430812888365,0.2996360112008,0.900642472522641,0.233527773282514,4.69149124296345e-05,0.00962945867633707,0.218931346719999,0.248596605535999,0.629386551771782,0.000272096779516783,0.158394868609084,0.328137156244301,0.901860010674697,0.169692162036588,12.4533364492269,0.0227279707334516,10.9661421456466,-11.3463735899525,28.633936328953,-15.7421828303789,0.0192717610745751,3.78897520835849,-20.7118523545825,-9.60677010057216,13.5425380066282,0.0179022496009379,10.0405465521111,-7.5845161333614,28.6994439787642,0.172279416915665
"4","constant",0,1,0.5,0,0.3,350.575757575758,0.107677758509158,0.0112354669810415,0.0335141414141414,10000,0.826435877136582,0.00030470608039425,0.123409435528773,0.51002343598979,0.961729930047637,0.104731333210933,Inf,0.0251263492195608,0.0704381489668295,0.148624132145414,0.851760587597663,0.000115725061299611,0.0808137829143825,0.656290868546515,0.962120122936403,0.155309559610581,0.249250990415758,0.000191008613657933,0.0631340654979589,0.193284577008394,0.414169052077498,0.808008881963815,0.000209561204932773,0.0351412887896923,0.757080317989831,0.855591567339929,0.229025541327592,2.26037154648374e-05,0.0187551680476134,0.192906487134043,0.265766143889147,0.139278825881393,0.612665096862172,0.000327235947388464,0.169827404771438,0.299287415591154,0.90214221737335,0.234491969537912,5.67549139028778e-05,0.0105945678984461,0.220436048055908,0.252214924154622,0.625668547441188,0.000282511205274328,0.161087250180104,0.325661685373697,0.902982344435348,0.1640461311928,12.6561080892649,0.0221934363044844,11.0315263995065,-11.148708853439,28.8555743200374,-13.277347725417,Inf,3.6619594293129,-18.6143638245235,-8.74839176206648,13.6225765260474,0.01865440295624,10.2519792253362,-8.13553945017551,28.8808386830207,0.168616861239605
"5","constant",0,1,0.5,-1,0.4,450.5,0.106855829856112,0.0112191219121912,0.035392,10000,0.824766366858054,0.000322395130580411,0.12880460843603,0.469805180572831,0.961852671820059,0.0930996508495169,Inf,0.0306557044205079,0.0546599316332764,0.152438848402429,0.851667268414547,0.000115453913555592,0.0799620477813787,0.662100550456613,0.962207667054377,0.16590913152624,0.249821148414608,0.000218068877536645,0.0678111052653975,0.19429239706163,0.452153474068638,0.808845266001225,0.000261180262211798,0.0386374576130487,0.742066616853531,0.857482074108562,0.228791296787509,2.30335508689685e-05,0.0183481614938598,0.194036652144347,0.26527840095177,0.148203916029644,0.612601359668835,0.000326029979593862,0.167222297893834,0.290380259121456,0.898137185940927,0.233165021729542,5.0170132833528e-05,0.0107320476543424,0.217092207886991,0.250499119330531,0.625930127444014,0.000275948539849283,0.157508656041946,0.324116932841295,0.899942961270074,0.171803419703844,12.824279556645,0.0228947581553135,11.0363684588817,-11.3166261433543,28.7872837751338,-17.7155963817769,0.0291991115504311,4.47558851146613,-23.1798649592097,-11.1323659819797,13.9115081104964,0.0179022249608483,9.91656011187749,-6.13209743909883,28.845966123614,0.17556079169506
"6","constant",0,1,0.5,0,0.4,550.5,0.110077875796442,0.0114961496149615,0.026665,10000,0.831515006770956,0.000302630508834283,0.119491058838748,0.506717060652586,0.962269343889089,0.0901843787834916,0.000139995361842857,0.0260844972104725,0.0603040780734076,0.144714749703152,0.851962628362604,0.000111184076888355,0.0802899056690956,0.657525631933441,0.962403717117459,0.153222623881783,0.244483238655737,0.000201503758929477,0.0579838220253836,0.193946937995454,0.412222560679326,0.80277469917384,Inf,0.0319099202683672,0.758918027558176,0.85130487409358,0.228847472155819,2.27705252689698e-05,0.0185463782424839,0.193766494520738,0.266034683512255,0.136759169874304,0.61557521308938,0.000314564220559779,0.168506976312449,0.298325745351221,0.904408122691823,0.231531628850511,7.70933143581936e-05,0.0108213825807492,0.215217790755843,0.245225303755695,0.6259777189853,0.000276053385068559,0.160882830551574,0.32280749300194,0.904473188854201,0.158139382159262,12.5053456718603,0.0218729265180538,11.0568856317251,-12.4750334354189,28.6680364305055,-16.7119864230788,0.0273433977064646,4.20022531265205,-21.7718045899121,-10.3455624837697,13.337912333429,0.0178409102511798,10.2287038975224,-9.04004048912672,28.6867297293989,0.167257086291423
"7","constant",0,1,0.5,-1,0.5,650.5,0.107552018014914,0.0113081308130813,0.031414,10000,0.829162968779335,0.000335588071412039,0.125990193980066,0.496217515478744,0.963024424849451,0.10340754913022,0.000139888639030873,0.028276327792457,0.0693928026301118,0.150014427892501,0.852844006619901,0.000119468879942099,0.0814039548243057,0.648119572829327,0.963533302566776,0.160945835788783,0.247789876038969,0.0002163206026616,0.0652001542677656,0.193499232507729,0.415592686655841,0.804190702224036,0.000143611006068274,0.0290997340422238,0.757052409096721,0.851317613901508,0.229044266286951,2.29290553088234e-05,0.0188374715946103,0.19334046433229,0.266614392519796,0.146135463755249,0.613666362633392,0.000328518565104065,0.170402273903303,0.288863123594982,0.902244618621336,0.233233448650191,3.96484338513465e-05,0.00954191674387823,0.21918105006531,0.248623822590355,0.625976073161206,0.00028061174558702,0.16115909892283,0.316813436574887,0.903635485632081,0.167444313083671,12.9330531867596,0.0221171855965477,10.6659397338896,-10.1708113060621,28.6912850179276,-15.6406378246974,0.0218867226352846,3.6716836806369,-21.0557610264544,-10.3501978339052,13.8508206885031,0.0174494239498798,9.75060485814931,-6.48345831651988,28.7069165190777,0.169662895595343
"8","constant",0,1,0.5,0,0.5,750.5,0.104732189390402,0.0111381138113811,0.025539,10000,0.833437799120106,0.000268552539567052,0.115260221667459,0.538605365752286,0.961038272814248,0.0981511489788359,0.000176704731544933,0.0307326617972585,0.064031311090361,0.147620012705668,0.852694886843174,0.000115884347918842,0.0806385843406347,0.652858224713184,0.961642106171497,0.154338173470677,0.2441570357496,0.000164491552052144,0.053864739357556,0.194517902112439,0.383009131160748,0.796818385517796,0.000144318813018418,0.029373729358683,0.748422956268158,0.839301840732524,0.229147331088374,2.25289794553444e-05,0.0184015324503345,0.194164931197624,0.266257156225247,0.133971198757647,0.617189476783928,0.000319510484234587,0.167366658439901,0.297158420449523,0.8999944397066,0.22785305779449,5.46467755762282e-05,0.0107545626713144,0.213424683769948,0.244278555113063,0.627418222962367,0.000274606873687564,0.159896316809574,0.319949159707963,0.900673404187623,0.165713533650599,13.1600405705531,0.0221810668643512,10.8171098323901,-10.8246861726936,28.6965813937181,-15.9270986546262,0.0210490982284475,3.68923066381301,-21.4894101915254,-10.7765973390099,13.9162854622999,0.018324235940833,10.0806942433327,-7.94853857417915,28.7336049774456,0.170627391556141
"9","constant",0,1,0.7,-1,0.2,850.551020408163,0.108427781295088,0.0113919555220828,0.0215775510204082,10000,0.835614203406649,0.000226381528789983,0.10931053568098,0.553265956027479,0.961741550891626,0.0999950609778219,0.000120123146418066,0.0236854843047361,0.0690654452308025,0.139753127634279,0.852107983840277,0.000110149556738509,0.0794506061027946,0.660230006789603,0.962047914431192,0.137226361041115,0.242246239286286,0.000124607727975669,0.0503330330040641,0.195233721565177,0.376533693187777,0.827619531041302,0.000193251765822587,0.034502045712585,0.771597942572299,0.864334128709444,0.229027974734523,2.17637577498731e-05,0.0183014819510311,0.195058658544966,0.26618380486205,0.11985253039887,0.616762897368804,0.000295205982978191,0.164086281080062,0.307924127381074,0.899999665578638,0.23144614803708,4.29420223461633e-05,0.0080258020311407,0.219027249667542,0.244811034405874,0.625300894363963,0.000267405628519485,0.157740006338592,0.327014994339844,0.900112870972807,0.152413083942523,13.3537772219261,0.0197950515041829,10.5959338449548,-8.69892605553813,28.7888583372185,-15.8330277834721,0.0233886484449877,3.66623416782663,-20.291170670879,-10.2068141241788,13.9677445646724,0.0175290976304463,9.9906393439757,-5.96990877652073,28.8020927506502,0.154496888651318
"10","constant",0,1,0.7,0,0.2,950.707070707071,0.108666939136388,0.0114203339525872,0.0295939393939394,10000,0.82891456658552,0.000323269619752161,0.122928652940568,0.509762644712049,0.960817547510961,0.101358302987699,0.000135211938225088,0.0256952185287185,0.0702391948633771,0.149757247081952,0.851445162792638,0.000118150817890206,0.081998905614149,0.648550781537412,0.961141176788028,0.157060743631503,0.246768091598684,0.000202492203216336,0.0615847009318367,0.193441611462895,0.407291251302991,0.804442058727469,0.000153785511880682,0.0309416204890452,0.750736850705023,0.850482108505744,0.229223602337853,2.28135874119346e-05,0.0186392451051173,0.193034444793002,0.266740999629056,0.139112245486641,0.613695813150092,0.000331672730553785,0.169439375039636,0.296078128345022,0.899237132380507,0.229739384571034,Inf,0.01052692849163,0.214078230978376,0.246627034310663,0.625382502930993,0.000285648243383213,0.160880844891749,0.321031903794969,0.899924319326312,0.171792949968118,12.6275022117585,0.0226908141868639,10.9731994563307,-11.1690097893151,28.8023284829451,-16.2749537209374,0.0233056197710187,3.93516676875679,-21.4160899799487,-9.63309924044417,13.5590263312192,0.0177032426463818,10.0469682392321,-7.24198271482227,28.805816152905,0.167714893052275
