"","init","adapt","K","gamma","weight","target_accrate","job.id","msjd","accrate","prop1","N","eta_m","eta_mse","eta_sd","eta_qL","eta_qU","eta_m1","eta_m1se","eta_sd1","eta_q1L","eta_q1U","eta_m2","eta_m2se","eta_sd2","eta_q2L","eta_q2U","eta_acf","pi1_m","pi1_mse","pi1_sd","pi1_qL","pi1_qU","pi1_m1","pi1_m1se","pi1_sd1","pi1_q1L","pi1_q1U","pi1_m2","pi1_m2se","pi1_sd2","pi1_q2L","pi1_q2U","pi1_acf","pi2_m","pi2_mse","pi2_sd","pi2_qL","pi2_qU","pi2_m1","pi2_m1se","pi2_sd1","pi2_q1L","pi2_q1U","pi2_m2","pi2_m2se","pi2_sd2","pi2_q2L","pi2_q2U","pi2_acf","gamma_m","gamma_mse","gamma_sd","gamma_qL","gamma_qU","gamma_m1","gamma_m1se","gamma_sd1","gamma_q1L","gamma_q1U","gamma_m2","gamma_m2se","gamma_sd2","gamma_q2L","gamma_q2U","gamma_acf"
"1","constant",0,1,0.5,-1,0.2,2.89521437594856,0.00164496158449774,0.000145314387340366,0.0118225292479323,0,0.00927857051666589,7.08812750522835e-05,0.00969978137754858,0.0271132172461342,0.000918355226895819,0.0043745973462072,1.06433760833798e-05,0.00188082788884584,0.00512638574970157,0.00542080935850424,0.00120553028297293,2.66634443190412e-06,0.000890489929286506,0.00381882878025578,0.000936029416785977,0.0163211171650859,0.00727603774754243,6.47484276054353e-05,0.00940122575611465,0.000460096581927117,0.0274988340130745,0.00633145571439032,1.97602555835692e-05,0.00257052882941733,0.00671327499008461,0.0079918886911266,0.00024255643596112,4.92279601684565e-07,0.000194311814278208,0.000445649458151709,0.000620395873035109,0.017360778010207,0.00541566228540476,1.70469115206479e-05,0.00245861240350596,0.0057721227222571,0.00295487536553536,0.00116311332410863,5.78819338591079e-06,0.000744932853221827,0.00171228918133191,0.00160445026760226,0.00289416768896316,6.57617987184726e-06,0.00131529712008714,0.00402911343540358,0.00300064454914676,0.00982243756794475,0.410852956680381,0.00202300581064475,0.272983339625404,1.07088119828338,0.0933393730762899,0.558833412158816,NA,0.298516030115849,0.72517154618785,0.5576207560567,0.210004109615203,0.000792688481159457,0.168745800055642,1.07128478654186,0.0882322762974218,0.0126617431311341
"2","constant",0,1,0.5,0,0.2,2.9011491975882,0.00175946099166442,0.000156227211939346,0.00813533178378874,0,0.0063909754692793,5.22510760874035e-05,0.00756179793167514,0.024719508202661,0.00116749450871287,0.0037912870641219,1.54480686923494e-05,0.0021626426866339,0.0047604032853309,0.00523204893691676,0.00139341032016291,2.74875585508551e-06,0.000964409820294571,0.00426293869399109,0.000978086217027649,0.0114325618772708,0.00481787684466562,3.63020432276633e-05,0.00741533908796315,0.00050448819625149,0.0263079180347823,0.00641626931088777,NA,0.00349110739678846,0.00751115575924208,0.00846785104434005,0.000213018059814838,4.62702676704577e-07,0.000159832675177159,0.000498859488904051,0.00050035096386038,0.0122493217234261,0.00431566264928713,1.23522026440159e-05,0.00198689725512708,0.00501585785150217,0.0032397802967358,0.001560479435738,7.14205495322256e-06,0.000968892706653952,0.00193832903292363,0.00220706303100337,0.00275073756435347,5.82579718439774e-06,0.0012500423656433,0.00329141064101486,0.0031036452930506,0.00652919330043079,0.291561440427509,0.00110434964289172,0.216388840806438,1.08121455794698,0.0841842728141959,0.60648871473481,NA,0.342624074933952,0.812966269745783,0.630245706567472,0.172548863107767,0.000560507235690198,0.161159058929754,1.01547142880655,0.0818324087395939,0.00753076449929406
"3","constant",0,1,0.5,-1,0.3,2.93006586380551,0.00157027454757972,0.000156165175644657,0.00942816923910457,0,0.00757913265098023,5.35654224239581e-05,0.00812096075283137,0.0255855626466155,0.00100497210897896,0.00296062549691602,1.89820518424744e-05,0.00220313312341471,0.00340235693234948,0.0057471701279699,0.00130261685227,3.34759725878728e-06,0.00101188526859415,0.00437171393791058,0.000930522507859354,0.0131465208997055,0.00590910930138823,5.10791116191651e-05,0.00809009329982466,0.000483646093257998,0.0256648273532876,0.00691685816563404,1.44474327222025e-05,0.00242729052486189,0.00514374557191619,0.00856044364927318,0.00021275104860608,5.07271315210066e-07,0.000163140597622111,0.000482976244730834,0.000512011606288383,0.014066117836501,0.0045455521473994,1.66474305938078e-05,0.00229421440700676,0.0056151352346,0.00313045452215421,0.00122369546836484,5.26893866927775e-06,0.000874841786540209,0.00173432498095206,0.00178687993176599,0.00274135498303858,7.34218251368324e-06,0.00149369489824188,0.00391580648488357,0.00304631538837233,0.00831285219519912,0.32896415498778,0.00146996663363182,0.237447446259112,1.06297933190105,0.0797371679379258,0.632978780368166,0.00188141870546257,0.304027387908549,0.621201223266487,0.679388666656953,0.177805929903439,0.000574302595388452,0.145607972662697,0.971891289929593,0.0774109845448753,0.00913462528934828
"4","constant",0,1,0.5,0,0.3,2.92960390447659,0.00154125223213537,0.000147495215237509,0.00807508811420385,0,0.00615879193851561,4.25744859359806e-05,0.00786170120392617,0.0252295235216412,0.000903725752872403,0.00342073624327207,NA,0.00218044636906203,0.00419772975073144,0.00550790620010269,0.00115710587305213,2.53226878314204e-06,0.00101477765804014,0.00396807684324976,0.000913245565458565,0.00999756598271639,0.0048350456816734,3.90881501030288e-05,0.00781279434763987,0.000460970261596708,0.0264207258153436,0.00745923402540356,1.89218003410191e-05,0.00292654420098831,0.00801989184217282,0.00982764040489018,0.000224385391304515,4.04643208269741e-07,0.000169552411611692,0.000438828349793381,0.000478218322357565,0.0106261629310356,0.00434519458894777,1.29889040395528e-05,0.00213576696990165,0.00531344846566591,0.00333162009116148,0.00158931313331741,6.07218882045867e-06,0.000923944078645133,0.00199539470495133,0.00213096149824177,0.00306110117133634,6.40457522134058e-06,0.00152082127752241,0.00364600877579948,0.00329742205938108,0.00624044105753134,0.296441774366061,0.00127544486944711,0.254870086293454,1.07641061491552,0.0841803911124965,0.614467820660512,NA,0.331654372691513,0.891741638594155,0.641110173890115,0.193204083538357,0.00085116329357424,0.186332660202181,0.979796155398966,0.0830931971821286,0.00685357792576441
"5","constant",0,1,0.5,-1,0.4,2.9011491975882,0.0018068380630895,0.000163206610528651,0.00753303829939833,0,0.00601771638749891,4.28272462054365e-05,0.00788649193756099,0.0278787164499303,0.000899548941097632,0.00360249097003939,NA,0.00225713118518895,0.00359414473668155,0.0064225360369336,0.00119277274116875,2.54190092865863e-06,0.000909392001852361,0.00410288831549411,0.000893186195902624,0.0106318544299142,0.00459336220218046,4.07747778848221e-05,0.00770713963334558,0.000496492918332559,0.0270774823350503,0.00567441868227765,2.85484451081602e-05,0.00280493032435663,0.00607985264741764,0.00723984133805665,0.000238325665586531,4.78317108900927e-07,0.000183339625173685,0.00050398614973192,0.000596792072577162,0.0119759382395011,0.00449276368738693,1.22007879750821e-05,0.00184256712290593,0.00551062473203535,0.00354207209612606,0.00121801873474067,4.54852138234779e-06,0.000874153766290642,0.00149417201495585,0.00216924145905118,0.00308674887587714,7.02024274245006e-06,0.00138191506557187,0.00356402173572373,0.00334394322921845,0.00636048500468554,0.286648771780584,0.00123535866533677,0.230059603291307,1.06398449177702,0.099074028648226,0.544449664097195,0.00297845859977461,0.337779431569706,0.601052076577451,0.686777829908761,0.176858401203444,0.00056502504465691,0.155006547619012,0.90794450757862,0.0892930635315955,0.00697323210265115
"6","constant",0,1,0.5,0,0.4,2.9011491975882,0.00190136415819658,0.000172985299307327,0.0060516873638263,0,0.00489691642628487,4.91046338001199e-05,0.0072876710173432,0.0256371638354311,0.000872128641326801,0.00326756508764488,2.08737923185935e-05,0.00230535192494965,0.00382973807586756,0.00626551089821354,0.00122343949940399,2.92534905530351e-06,0.00100468501581202,0.00444813248666121,0.000870975066983901,0.0108543582979253,0.00360445023954045,4.57509435248582e-05,0.00690511522828767,0.000500787999204195,0.0249980072129035,0.00492733791529585,NA,0.00252099727692495,0.00508384601382076,0.00690701919079497,0.00025960261138936,3.71920768815714e-07,0.00018079245828813,0.000497769023671084,0.000643590224735304,0.0117045861948322,0.00357161685971643,1.19193590025632e-05,0.00201348754172304,0.00547926764883163,0.00271456026203321,0.00168798852713642,9.44657878474811e-06,0.000891641605440848,0.00204324735669731,0.00208434026546702,0.00267277120178751,6.14811170086348e-06,0.0013579102993161,0.00364137870131917,0.00271721285563657,0.00619570233178716,0.279128700381148,0.00132779641510653,0.243146827274881,1.11914075995096,0.0895536017915983,0.644296017703314,0.0029877156809081,0.306292599609739,0.7192402198498,0.669233744030463,0.214294797981068,0.000711813823316173,0.174203819313875,1.02549377914053,0.0882791222079011,0.00728164951208555
"7","constant",0,1,0.5,-1,0.5,2.9011491975882,0.00166337929195704,0.000154296132727873,0.006441253880694,0,0.0051693170246752,5.07389069563284e-05,0.00755195962081667,0.0254275607897823,0.0010077794051985,0.00416840391303083,1.7715813294537e-05,0.0024062743718793,0.00497833505049851,0.00564639201202541,0.00124201935883833,2.70366704568347e-06,0.000879382632594998,0.00420028821349699,0.000982860577549444,0.0123468089823967,0.00393737355461785,4.31458942417857e-05,0.00746182553108196,0.00047038151937477,0.0253773433102606,0.00557488245191115,1.42406087079001e-05,0.00262729109260257,0.00626336332109261,0.00838839310282563,0.000220103755683676,4.14889681189884e-07,0.000176330372577602,0.000463617101823396,0.000613532242952521,0.0131044187272712,0.0037946439100926,1.29700425227963e-05,0.00192907507562237,0.00511724771324515,0.00367082483753937,0.00170825540313493,3.83820114345662e-06,0.000871374484036373,0.00220213774833997,0.00190576821381047,0.00278511700703082,6.27810950757148e-06,0.00124913652673276,0.00387306492075399,0.00362141712562109,0.00701069379918996,0.266451197465918,0.0012517764961566,0.21380047970005,1.03705438786191,0.0826593222264164,0.582426423604216,0.00286198825856668,0.337290191099736,0.698997036618508,0.669290419344897,0.186996925246955,0.000592219553834158,0.12976613163042,0.904106761227366,0.0830423352189989,0.00756282701618316
"8","constant",0,1,0.5,0,0.5,2.9011491975882,0.00153877889303829,0.000141647173196661,0.00618606300852606,0,0.00504014414849788,3.60081084723557e-05,0.00721438430160732,0.023652969374118,0.00096941286082322,0.00286789361291211,1.32827354033027e-05,0.0021171127419578,0.00377432261206769,0.00446557230952698,0.00113851023588346,2.54939512487473e-06,0.000934939776697943,0.00449305877774457,0.000906855022600256,0.00972659606296716,0.00366965602526329,3.49996557229873e-05,0.00697475712813972,0.000420705896331194,0.0235670183641067,0.00707987505174215,1.49645158046908e-05,0.00246698661648152,0.00755754278454762,0.00864647940586532,0.000240090475852278,4.22889457499121e-07,0.000161278919835842,0.000436688774893727,0.00050034595181883,0.0109031314796598,0.00354224931339516,1.22750158881886e-05,0.00213106166971788,0.00537196357922042,0.00319213197667543,0.00129160697633625,4.83450041195054e-06,0.000894505889807251,0.00162820802813957,0.00186541731442663,0.00274316921301347,6.25326238395567e-06,0.00135132799474732,0.00388216464553105,0.00324185599229873,0.00530619997278891,0.28824769636938,0.0012233747830174,0.228847250745672,1.12833478985267,0.0877160699000658,0.59992174878298,0.00233100256630432,0.29254181289726,0.717777823528169,0.610129369077174,0.207550087477332,0.000713531000422946,0.171124657749104,1.07766473237626,0.0819069766875114,0.0074715918557391
"9","constant",0,1,0.7,-1,0.2,2.9398959338787,0.00175015781309705,0.000159267323041318,0.00603462126042811,0,0.00484793365192073,3.02144622728515e-05,0.0068632354953376,0.0232322390184668,0.000916605508669867,0.00449917723325865,1.23999142827328e-05,0.00204980308232611,0.00567062711674905,0.00572289975674861,0.00105832454229013,2.58528181581256e-06,0.000968056389606076,0.00406722597729692,0.000903189650534503,0.00760270848636786,0.00377739063372651,2.74547796293128e-05,0.00680938137661535,0.000441732329560247,0.0238222444358514,0.00748093301549324,1.79947828318974e-05,0.00312702093762935,0.00817316142051013,0.00924402353328078,0.000227164032419674,3.75486377652537e-07,0.00016732791409955,0.000430225030467108,0.000539947099694368,0.0084876361059034,0.00345174176500599,1.11144730307733e-05,0.0020020090936994,0.00507739429448482,0.00304840810441129,0.00139687156693484,5.06824669043711e-06,0.000761273114473526,0.0021287592680542,0.00159318556307868,0.00258907492799391,5.80173808464061e-06,0.00139422227738901,0.00356346816459738,0.00303290919977679,0.00459830118181131,0.247590545440898,0.00090104580574587,0.209205658926524,1.03159278256407,0.0990173814821876,0.67754277065722,0.00254742621851717,0.330423843103191,0.784498450254441,0.675550245019883,0.191913323513246,0.000616558987224975,0.158641625023299,0.894063591346363,0.099049473223266,0.00611970888113679
"10","constant",0,1,0.7,0,0.2,2.92312880823451,0.00158791889539722,0.000137845124894196,0.00657764478218501,0,0.00523216284172464,5.30886367964591e-05,0.00762585023108531,0.0248783140008783,0.000948663106657014,0.00396029296201419,1.43314893316722e-05,0.00199910630543807,0.00480990989112121,0.00516701941192317,0.00104850325301894,2.86381353710977e-06,0.000975867768267824,0.00419787151188064,0.000926618130802461,0.0120184240737145,0.00391492013368711,4.59549011162126e-05,0.00730540425193481,0.000523322845878111,0.0250049117029937,0.00660498823195522,1.86150925371342e-05,0.00299935891592955,0.00661395464180143,0.00927468363725023,0.000210356559185941,4.12594463190487e-07,0.000168829919128688,0.00051503737909475,0.000548137030384042,0.0128699358614698,0.00334715336710029,1.32183917514861e-05,0.00211978606805466,0.00543495100575649,0.00273711465104622,0.00183429571460219,NA,0.000757138310237518,0.00197743193066187,0.0023928808598525,0.00232697607403456,5.58919646617014e-06,0.00133419324779452,0.00381071023525993,0.00273526333750507,0.0076270793333563,0.301662457302512,0.00143292029818027,0.249348169101197,1.07332560769572,0.0995850356647014,0.565645440641171,0.00229357924067788,0.290274044864258,0.726184760807463,0.549247917749052,0.232287277869267,0.000666248223999165,0.167231015900492,0.959594231549183,0.0992548697532576,0.00882767892315751
"11","constant",0,1,0.7,-1,0.3,2.9011491975882,0.00169757404787367,0.000144584039009102,0.00765035832989263,0,0.00610456554351959,4.49647429882014e-05,0.00799299675323305,0.0250114866584978,0.000911437470689372,0.00390081427817787,2.10834200828872e-05,0.00186702903008155,0.00466971212744892,0.00440594316132024,0.00114666180686436,2.51395597942235e-06,0.000932630618733749,0.00401826057978035,0.000879210255669986,0.0113956125848562,0.00458520219869558,3.87677189665768e-05,0.00750979545220877,0.000506606854879578,0.0247251735683024,0.00690898404116812,NA,0.00277327525451698,0.00780278747550492,0.00760948320238204,0.000223122939791506,4.81607751761467e-07,0.000179944233245886,0.000484225363180215,0.000564223701888133,0.0121361290791428,0.00424417411718505,1.36682534292701e-05,0.00230133292426277,0.00546079180324783,0.00314930121908777,0.00176221284862407,NA,0.000836588825008584,0.0022319142119451,0.00202952647629667,0.00255346858569977,6.56436471699748e-06,0.00137462446819123,0.00386096985219348,0.0030679180806761,0.00636001191911219,0.304488882514469,0.00154569085115488,0.248074519750608,1.09770197941574,0.0777857107112978,0.749741242863463,0.00235589723380482,0.285392073778351,0.746130538415233,0.73922812385457,0.192597566144951,0.000860205101468393,0.172507549666865,1.02248428830783,0.0777499216820458,0.00747317158706633
"12","constant",0,1,0.7,0,0.3,2.8998495389453,0.00156913266226303,0.000162862115830864,0.00908191128046408,0,0.00717352536183213,5.39873114460012e-05,0.00813812462114327,0.023611296939865,0.000988632124800307,0.00318449332576242,1.33316199114235e-05,0.00193229392757208,0.00403715023310096,0.00470851761455231,0.00121320035644508,2.39916059544535e-06,0.000913684250302951,0.0040057028923913,0.000916297359546822,0.0118799424071073,0.00553918984392125,4.20235654153085e-05,0.00788396017378119,0.000496847833052369,0.0241431695672349,0.00584110016646776,NA,0.00271019180603983,0.00595929804713718,0.00837325750086497,0.000220891173378365,5.13902855604427e-07,0.000184963851727812,0.00047005603892157,0.000579843380120933,0.0126818575359173,0.00451858855556886,1.32369076584018e-05,0.00203594143003902,0.00496906280924216,0.00289512925687816,0.00150048193661775,4.49197797147266e-06,0.000797045539473057,0.00178209997196248,0.00168231863415348,0.00264694185564524,5.56160015160349e-06,0.00128943536429264,0.00371750539088952,0.00275250540438921,0.00765205313618897,0.362732784984338,0.00154989182797618,0.242026029255826,1.09267671946991,0.0900208495883256,0.591611090104317,0.00201113136137223,0.339487142386581,0.66612987085312,0.700987791697418,0.206021895932466,0.000899053700161762,0.172574714422907,0.975054167308475,0.0870993718744241,0.00856541135695767
"13","constant",0,1,0.7,-1,0.4,2.9011491975882,0.001742123095963,0.000162465928001841,0.00686117492883255,0,0.00542228654764681,4.74142702789082e-05,0.00751701288513701,0.0246948749386153,0.00097956899463732,0.00267097390987615,NA,0.00178816723609257,0.00377693997826447,0.00458472090397995,0.00114683901015876,2.55937516514767e-06,0.000926853794525959,0.00414601687524325,0.000952447217271892,0.0110480202800691,0.00416962418131804,4.37903661662869e-05,0.00728749440785721,0.000443873365843462,0.0235266538126891,0.00558027993773091,1.05687271344802e-05,0.00212825847402043,0.00604701403859733,0.00774426948534118,0.000213366735190105,4.48299670515577e-07,0.000197285901155487,0.000448680366794808,0.000508330987500464,0.0123214070198085,0.00380016374067078,1.34843876129811e-05,0.00230769455396386,0.00579777807749085,0.00318379706544512,0.000922145038083182,3.77074698841152e-06,0.000739335504978606,0.0015178704909932,0.00207164469979616,0.00281072652408056,5.36084624709213e-06,0.00144752466200964,0.00405352581428731,0.00319777989719599,0.00743455200190579,0.299114575928584,0.00121251421844846,0.210918837784298,1.02333522569583,0.0910097497836606,0.525757167621486,0.00323594109543772,0.354093338905446,0.688618786679403,0.647491975060363,0.191595628266292,0.000539900682253711,0.141021223940111,0.890053568855578,0.0904006962483569,0.00720823226181324
